object_id,asset_name,asset_type
13211,S13211,"SNOW 4X4"
13213,S13213,"SNOW 4X4"
13215,S13215,"SNOW 4X4"
13217,S13217,"SNOW 4X4"
13219,S13219,"SNOW 4X4"
13223,S13223,"SNOW 4X4"
13224,S13224,"SNOW 4X4"
13225,S13225,"SNOW 4X4"
13226,S13226,"SNOW 4X4"
13227,S13227,"SNOW 4X4"
13228,S13228,"SNOW 4X4"
13229,S13229,"SNOW 4X4"
13230,S13230,"SNOW 4X4"
13231,S13231,"SNOW 4X4"
13232,S13232,"SNOW 4X4"
13264,S13264,"SNOW 4X4"
13265,S13265,"SNOW 4X4"
13267,S13267,"SNOW 4X4"
13268,S13268,"SNOW 4X4"
13270,S13270,"SNOW 4X4"
13271,S13271,"SNOW 4X4"
13272,S13272,"SNOW 4X4"
19990,S19990,"SNOW SALT SPREADER"
19991,S19991,"SNOW SALT SPREADER"
